id_student,code_module,code_presentation
28400,AAA,2013J
30268,AAA,2013J
31604,AAA,2013J
32885,AAA,2013J
45462,AAA,2013J
45642,AAA,2013J
53025,AAA,2013J
57506,AAA,2013J
58873,AAA,2013J
59185,AAA,2013J
62155,AAA,2013J
65002,AAA,2013J
70464,AAA,2013J
71361,AAA,2013J
75091,AAA,2013J
77367,AAA,2013J
91265,AAA,2013J
98094,AAA,2013J
100893,AAA,2013J
101781,AAA,2013J
102806,AAA,2013J
102952,AAA,2013J
104476,AAA,2013J
106247,AAA,2013J
110175,AAA,2013J
111717,AAA,2013J
113295,AAA,2013J
114017,AAA,2013J
116692,AAA,2013J
123044,AAA,2013J
127582,AAA,2013J
129955,AAA,2013J
132976,AAA,2013J
134143,AAA,2013J
135335,AAA,2013J
141355,AAA,2013J
141377,AAA,2013J
142326,AAA,2013J
144801,AAA,2013J
145130,AAA,2013J
148993,AAA,2013J
155550,AAA,2013J
155854,AAA,2013J
155984,AAA,2013J
157568,AAA,2013J
167906,AAA,2013J
168936,AAA,2013J
172112,AAA,2013J
172797,AAA,2013J
174782,AAA,2013J
175392,AAA,2013J
175932,AAA,2013J
175991,AAA,2013J
181316,AAA,2013J
183096,AAA,2013J
183947,AAA,2013J
185439,AAA,2013J
186149,AAA,2013J
188278,AAA,2013J
192183,AAA,2013J
195262,AAA,2013J
200860,AAA,2013J
205350,AAA,2013J
205719,AAA,2013J
227499,AAA,2013J
227517,AAA,2013J
228082,AAA,2013J
228222,AAA,2013J
229179,AAA,2013J
229361,AAA,2013J
231554,AAA,2013J
235507,AAA,2013J
238007,AAA,2013J
240884,AAA,2013J
241729,AAA,2013J
242793,AAA,2013J
246834,AAA,2013J
248270,AAA,2013J
256815,AAA,2013J
258392,AAA,2013J
258894,AAA,2013J
260355,AAA,2013J
262011,AAA,2013J
262934,AAA,2013J
268073,AAA,2013J
268733,AAA,2013J
271251,AAA,2013J
277880,AAA,2013J
279572,AAA,2013J
281250,AAA,2013J
281589,AAA,2013J
282821,AAA,2013J
286488,AAA,2013J
287548,AAA,2013J
290201,AAA,2013J
290757,AAA,2013J
293699,AAA,2013J
294570,AAA,2013J
294594,AAA,2013J
298696,AAA,2013J
300398,AAA,2013J
302302,AAA,2013J
305152,AAA,2013J
305539,AAA,2013J
306466,AAA,2013J
306897,AAA,2013J
307061,AAA,2013J
307866,AAA,2013J
